"/P_det/data_x","/P_det/data_y","/P_trace/data_x","/P_trace/data_y"
3.785706043,4.027136699e-05,3.785763025,1.08022096,
4.045835018,1.03694951e-05,4.045909166,0.8723428469,
4.235743046,4.406508635e-06,4.235686064,0.6887264227,
4.429498196,8.000485983e-07,4.429470062,0.4085453578,
4.611675024,5.182299463e-07,4.611616135,0.407723682,
4.820008039,5.17624115e-07,4.819905996,0.3746189624,
5.020506144,5.834735872e-07,5.020428181,0.3609726901,
5.203197002,2.551939555e-09,5.203131199,0.05503724714,
5.403062105,1.340440519e-09,5.402998209,0.03080976008,
5.603543043,7.591640426e-10,5.603441,0.02050082978,
5.808108091,5.180449374e-10,5.808049202,0.01581596605,
6.013212204,3.250448634e-10,6.013152122,0.01256453136,
6.213186026,2.330409744e-10,6.213132143,0.01044643543,
6.444695234,1.712849396e-10,6.444619179,0.009139713776,
6.613411188,1.280129931e-10,6.613323212,0.007827787865,
6.821171999,9.197731102e-11,6.821093082,0.006629002101,
7.019231081,7.127118381e-11,7.019174099,0.005647239093,
7.222831011,5.610121539e-11,7.222775221,0.004845116059,
7.415575027,4.519277041e-11,7.415517092,0.004238369454,
7.609643221,3.693720801e-11,7.6095891,0.003745486841,
7.809387207,3.187945277e-11,7.809311152,0.003361352634,
8.03471303,1.554620038e-11,8.034771204,0.002041520303,
8.239535093,9.232369971e-12,8.239478111,0.001545654781,
8.440193176,6.198195742e-12,8.440107107,0.001284266368,
8.642980099,4.609561785e-12,8.642859221,0.001120601079,
8.858739138,3.502911059e-12,8.858672142,0.0009956321522,
9.037860155,3.007948294e-12,9.037806034,0.0009250553137,
9.242245197,1.163355182e-09,9.242190123,0.044689701,
9.43626523,2.112621834e-09,9.436205149,0.09138898935,
9.661040068,2.904890304e-09,9.660923004,0.1366180946,
9.835513115,3.742165924e-09,9.835409164,0.1789602503,
10.0366931,3.711134136e-09,10.03657317,0.1940008762,
10.23404002,3.653022813e-09,10.233989,0.2147337776,
10.4350872,3.921003567e-09,10.43497801,0.2599154644,
10.63972521,4.084812525e-09,10.63967323,0.3057259961,
10.83970213,4.173318798e-09,10.83964801,0.349107718,
11.03975415,4.126429681e-09,11.03964019,0.3903906086,
11.23783708,4.063094185e-09,11.2377851,0.4357039146,
11.4380281,3.859547791e-09,11.43794703,0.4632160148,
11.63606,3.431253146e-09,11.63600707,0.458904079,
11.85016108,3.45322865e-09,11.85008502,0.5044693385,
12.0403831,3.253414123e-09,12.04032707,0.522833406,
12.23234701,2.974410798e-09,12.23219705,0.5226543644,
12.47258615,2.996570173e-09,12.47252417,0.5698170188,
12.63648319,2.946367717e-09,12.63643217,0.5920094264,
12.84397101,2.57757789e-09,12.84392118,0.5353371249,
13.06272912,3.034711146e-12,13.06280613,0.001322729518,
13.23712206,2.993714639e-12,13.23718715,0.001396586515,
13.47263217,2.732682923e-12,13.47253609,0.001386369254,
13.63831806,2.641310533e-12,13.63822722,0.001414570564,
13.84584022,2.360614624e-12,13.84578323,0.001359197978,
14.04492903,2.22843174e-12,14.04500318,0.001356459821,
14.26980305,2.072149871e-12,14.26986122,0.00136824878,
14.43572211,1.844869285e-12,14.43565321,0.001315995922,
14.6439631,1.851575699e-12,14.64403915,0.001366025533,
14.84612322,1.634022944e-12,14.8460722,0.001302783478,
15.0483191,1.607572742e-12,15.04826903,0.001364946392,
15.27866316,1.672039426e-12,15.27860117,0.001425788243,
15.44323015,1.660741664e-12,15.44308615,0.001433437586,
15.645962,1.811987644e-12,15.64601922,0.001557579447,
15.84505606,1.925980092e-12,15.84511113,0.001636398685,
16.04577708,1.908883804e-12,16.04572415,0.001653429185,
16.27854514,1.991181347e-12,16.27846217,0.00174121655,
16.44545102,2.103524356e-12,16.44542122,0.001836781187,
16.64436007,2.066616954e-12,16.64444113,0.001806870745,
16.84346104,2.148038475e-12,16.8435142,0.001885848571,
17.07427311,2.22051404e-12,17.07422304,0.001958741585,
17.24486423,2.384866216e-12,17.24481416,0.002063920329,
17.44671011,2.385099863e-12,17.44677615,0.002062488577,
17.66891003,2.477311579e-12,17.66885614,0.002124091844,
17.84363723,2.440858108e-12,17.84355307,0.002095011821,
18.04857302,2.565205241e-12,18.04852009,0.002221647462,
18.25042605,2.643342215e-12,18.25047421,0.002303951616,
18.44946814,2.794184345e-12,18.44961619,0.002441801115,
18.67357302,2.959266502e-12,18.67366719,0.002492038013,
18.84843922,3.081836182e-12,18.84840608,0.002585587051,
19.07283711,3.021896895e-12,19.07277107,0.002557336489,
