"/P_det/data_x","/P_det/data_y","/P_trace/data_x","/P_trace/data_y"
3.461302042,4.089628855e-05,3.461153984,0.6667490209,
3.620559931,2.208102416e-05,3.620454073,0.5717993402,
3.792910099,9.72180122e-06,3.79282403,0.474462556,
4.022305965,2.211387446e-06,4.022442102,0.3799570311,
4.229860067,2.305269136e-08,4.229769945,0.2667742598,
4.435971975,1.059926564e-08,4.4355371,0.1625444606,
4.637608051,2.534252927e-07,4.637503147,0.1623029481,
4.850778103,2.571787258e-07,4.850649118,0.1628880612,
5.061461926,2.645161359e-07,5.061353922,0.1622076532,
5.260281086,2.531514123e-07,5.260200024,0.15274281,
5.45866704,2.140613511e-07,5.458538055,0.1392445641,
5.66090107,1.686813154e-07,5.660809994,0.1288390115,
5.871052027,1.429451417e-07,5.871212959,0.1171978791,
6.078068972,1.184657641e-07,6.078284979,0.1073075301,
6.288362026,9.975057699e-08,6.28827095,0.1009827439,
6.494796991,3.437454799e-09,6.494668961,0.009564164392,
6.737884998,1.676777991e-10,6.737782001,0.007052470692,
6.946088076,1.309030739e-10,6.946370125,0.006106783457,
7.155611992,1.078494878e-10,7.155523062,0.0054591365,
7.36716795,8.937031328e-11,7.367267132,0.004880968197,
7.577095032,7.439783029e-11,7.576993942,0.004367905578,
7.785967112,6.094652377e-11,7.785855055,0.003942103106,
7.996590137,5.279273183e-11,7.996689081,0.003611338786,
8.201750994,4.557816279e-11,8.220046043,0.003296362577,
8.411546946,3.813608213e-11,8.411453962,0.003006790773,
8.626142979,2.039861124e-11,8.626004934,0.002036214355,
8.843037128,1.204894968e-11,8.842936993,0.001438524977,
9.097640991,6.122504096e-12,9.097515106,0.001041055629,
9.350321054,3.989309126e-12,9.350656986,0.000874824416,
9.609540939,2.921145576e-12,9.609243155,0.0007740211742,
9.860279083,2.153184432e-12,9.860162973,0.0006943561233,
10.113837,1.596813526e-12,10.11372614,0.0006226004481,
10.37591815,1.242180527e-12,10.37582612,0.0005694986388,
10.62722707,9.295441384e-13,10.62711906,0.0005127557361,
10.87178707,7.324415905e-13,10.87168598,0.0004701894414,
11.12483692,5.746302282e-13,11.12474704,0.000432149491,
11.37493515,4.592290056e-13,11.37499213,0.0004008257549,
11.63125801,3.773485866e-13,11.63187003,0.0003757685196,
11.96657896,2.981069647e-13,11.88399816,0.0003471928795,
12.13932514,2.432450897e-13,12.13922811,0.0003239991117,
12.41943812,1.917297827e-13,12.40628099,0.0002985876214,
12.66281605,1.445894464e-13,12.66248894,0.0002707088623,
12.91454601,1.142224633e-13,12.91446495,0.0002489678,
13.15702415,9.673097596e-14,13.15692616,0.0002369801831,
13.41079807,8.009852838e-14,13.41067696,0.0002237553172,
13.66337395,6.637136821e-14,13.66346002,0.0002115488038,
13.919451,5.620951431e-14,13.919065,0.0002011696468,
14.16785693,1.018870326e-13,14.16774297,0.0003018044478,
14.42997599,1.016777858e-13,14.42986107,0.0003097498766,
14.68348193,1.05938848e-13,14.68336701,0.0003241628904,
14.93856215,1.044287037e-13,14.93829799,0.0003242645023,
15.19330215,1.011912491e-13,15.19320798,0.000325781093,
15.45027113,9.979661606e-14,15.45015693,0.0003319543751,
15.69663501,9.915620987e-14,15.69653106,0.0003363755589,
15.95187712,9.841669258e-14,15.95168805,0.0003409855132,
16.21710014,9.518200909e-14,16.21690297,0.0003406073362,
16.48270011,9.423017496e-14,16.48257494,0.0003465327829,
16.75086594,4.254757867e-14,16.75072908,0.0002061663271,
17.02368093,3.860451005e-14,17.023206,0.0002001311184,
17.31189299,3.386789627e-14,17.31200504,0.0001966591422,
17.5871501,2.598942451e-14,17.58703208,0.0001826155071,
17.86475706,2.149524502e-14,17.86462903,0.0001744475848,
18.12996197,1.882981707e-14,18.12984705,0.0001715351717,
18.39129996,1.665745146e-14,18.391011,0.0001691780148,
18.65564108,1.487456976e-14,18.655545,0.0001695828154,
18.91930795,1.320415584e-14,18.9194181,0.0001673107689,
19.18276,1.202779629e-14,19.18263102,0.0001685090784,
19.44290113,1.120982539e-14,19.44280601,0.0001729018522,
19.70556712,1.051517082e-14,19.70546913,0.0001734396958,
19.96313,1.128231459e-14,19.96303701,0.0001736409321,
20.28577304,1.094449325e-14,20.28557611,0.000176394394,
20.54453397,1.032192894e-14,20.54437208,0.0001787957141,
20.80900097,9.690622803e-15,20.80863714,0.0001798954809,
21.07581711,1.063500612e-14,21.0759151,0.0001830022787,
21.34429002,1.222904767e-14,21.34440303,0.0001859063983,
21.61028004,1.305400715e-14,21.61033511,0.0001890862747,
21.87841415,1.254570896e-14,21.87831593,0.000193774907,
22.14451313,1.220233497e-14,22.14461207,0.0002016361217,
22.41191196,1.308288966e-14,22.41181493,0.0002079733886,
22.6739881,1.606472062e-14,22.67387295,0.0002157728639,
22.93311095,1.534595811e-14,22.93301415,0.0002201227372,
23.19731212,1.474143848e-14,23.19742393,0.0002251233966,
23.45973206,1.466569623e-14,23.45962,0.0002336859812,
23.72237301,1.437065e-14,23.72213292,0.0002355125719,
23.98651505,1.88809446e-14,23.98633695,0.0002430432688,
24.24903893,1.862529995e-14,24.24895906,0.0002546216688,
24.51358509,2.13698467e-14,24.51346493,0.0002596696776,
24.77781701,2.206510969e-14,24.77791309,0.000269543094,
25.04158497,2.359491205e-14,25.0414331,0.0002795820372,
25.30067015,2.267449129e-14,25.30056906,0.0002874740752,
25.57312799,2.110026177e-14,25.57301092,0.0002874979608,
25.83934212,2.183659187e-14,25.83921194,0.0002950145834,
26.10946012,2.192183568e-14,26.10934997,0.000307852928,
26.38228106,2.05614876e-14,26.38215303,0.0003092000716,
26.65492892,1.983845593e-14,26.65471315,0.0003211156714,
26.926404,1.912611506e-14,26.92619705,0.0003256835353,
